# Title: Global Land January Average Temperature Anomalies
# Units: Degrees Celsius
# Missing: -999
# Base Period: 1901-2000
Year,Anomaly
1900,-0.75
1901,-0.58
1902,-0.18
1903,-0.31
1904,-0.94
1905,-0.24
1906,-0.76
1907,-0.42
1908,-0.75
1909,-1.21
1910,-0.21
1911,-0.83
1912,-0.50
1913,-0.58
1914,0.11
1915,-0.33
1916,-0.17
1917,-0.48
1918,-1.12
1919,-0.12
1920,0.18
1921,0.09
1922,-0.18
1923,-0.29
1924,-0.29
1925,-0.52
1926,0.61
1927,-0.44
1928,0.06
1929,-0.45
1930,-0.35
1931,0.06
1932,0.69
1933,-0.08
1934,-0.24
1935,-0.48
1936,-0.60
1937,0.08
1938,0.25
1939,0.23
1940,0.06
1941,-0.11
1942,0.59
1943,-0.29
1944,0.76
1945,0.16
1946,0.38
1947,0.19
1948,0.36
1949,0.32
1950,-0.36
1951,-0.69
1952,0.30
1953,0.25
1954,-0.36
1955,0.66
1956,-0.17
1957,-0.10
1958,0.82
1959,0.16
1960,0.05
1961,0.21
1962,0.15
1963,0.03
1964,-0.21
1965,0.04
1966,-0.53
1967,-0.24
1968,-0.38
1969,-0.77
1970,0.16
1971,-0.13
1972,-0.60
1973,0.37
1974,-0.19
1975,0.07
1976,0.19
1977,0.08
1978,0.00
1979,-0.01
1980,0.32
1981,1.15
1982,-0.30
1983,0.67
1984,0.41
1985,0.48
1986,0.51
1987,0.47
1988,0.69
1989,-0.13
1990,0.55
1991,0.55
1992,0.78
1993,0.50
1994,0.27
1995,0.92
1996,0.30
1997,0.19
1998,0.62
1999,0.72
2000,0.39
2001,0.67
2002,1.18
2003,1.25
2004,0.91
2005,1.40
2006,0.98
2007,1.81
2008,0.29
2009,1.27
2010,1.10
2011,0.92
2012,0.86
2013,1.20
2014,1.29
2015,1.37
2016,1.95
2017,1.80
2018,1.43
2019,1.46
2020,1.97
2021,1.48
2022,1.51
2023,1.40
2024,1.92
2025,2.33
