"","Entity","Code","Year","Month","average_temp","temp_color"
"1","World","OWID_WRL",1940,"January",-0.95,"red"
"2","World","OWID_WRL",1940,"February",-0.86,"red"
"3","World","OWID_WRL",1940,"March",-0.89,"red"
"4","World","OWID_WRL",1940,"April",-0.6,"red"
"5","World","OWID_WRL",1940,"May",-0.52,"red"
"6","World","OWID_WRL",1940,"June",-0.67,"red"
"7","World","OWID_WRL",1940,"July",-0.45,"red"
"8","World","OWID_WRL",1940,"August",-0.5,"red"
"9","World","OWID_WRL",1940,"September",-0.63,"red"
"10","World","OWID_WRL",1940,"October",-0.81,"red"
"11","World","OWID_WRL",1940,"November",-0.76,"red"
"12","World","OWID_WRL",1940,"December",-0.6,"red"
"13","World","OWID_WRL",1941,"January",-0.68,"red"
"14","World","OWID_WRL",1941,"February",-0.54,"red"
"15","World","OWID_WRL",1941,"March",-0.71,"red"
"16","World","OWID_WRL",1941,"April",-0.81,"red"
"17","World","OWID_WRL",1941,"May",-0.61,"red"
"18","World","OWID_WRL",1941,"June",-0.49,"red"
"19","World","OWID_WRL",1941,"July",-0.54,"red"
"20","World","OWID_WRL",1941,"August",-0.47,"red"
"21","World","OWID_WRL",1941,"September",-0.85,"red"
"22","World","OWID_WRL",1941,"October",-0.51,"red"
"23","World","OWID_WRL",1941,"November",-0.78,"red"
"24","World","OWID_WRL",1941,"December",-0.69,"red"
"25","World","OWID_WRL",1942,"January",-0.56,"red"
"26","World","OWID_WRL",1942,"February",-0.8,"red"
"27","World","OWID_WRL",1942,"March",-0.71,"red"
"28","World","OWID_WRL",1942,"April",-0.8,"red"
"29","World","OWID_WRL",1942,"May",-0.61,"red"
"30","World","OWID_WRL",1942,"June",-0.68,"red"
"31","World","OWID_WRL",1942,"July",-0.73,"red"
"32","World","OWID_WRL",1942,"August",-0.75,"red"
"33","World","OWID_WRL",1942,"September",-0.74,"red"
"34","World","OWID_WRL",1942,"October",-0.72,"red"
"35","World","OWID_WRL",1942,"November",-0.87,"red"
"36","World","OWID_WRL",1942,"December",-0.82,"red"
"37","World","OWID_WRL",1943,"January",-0.82,"red"
"38","World","OWID_WRL",1943,"February",-0.68,"red"
"39","World","OWID_WRL",1943,"March",-0.89,"red"
"40","World","OWID_WRL",1943,"April",-0.77,"red"
"41","World","OWID_WRL",1943,"May",-0.63,"red"
"42","World","OWID_WRL",1943,"June",-0.76,"red"
"43","World","OWID_WRL",1943,"July",-0.74,"red"
"44","World","OWID_WRL",1943,"August",-0.78,"red"
"45","World","OWID_WRL",1943,"September",-0.71,"red"
"46","World","OWID_WRL",1943,"October",-0.65,"red"
"47","World","OWID_WRL",1943,"November",-0.68,"red"
"48","World","OWID_WRL",1943,"December",-0.61,"red"
"49","World","OWID_WRL",1944,"January",-0.39,"red"
"50","World","OWID_WRL",1944,"February",-0.5,"red"
"51","World","OWID_WRL",1944,"March",-0.46,"red"
"52","World","OWID_WRL",1944,"April",-0.63,"red"
"53","World","OWID_WRL",1944,"May",-0.6,"red"
"54","World","OWID_WRL",1944,"June",-0.52,"red"
"55","World","OWID_WRL",1944,"July",-0.53,"red"
"56","World","OWID_WRL",1944,"August",-0.47,"red"
"57","World","OWID_WRL",1944,"September",-0.41,"red"
