"STATION","NAME","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","EVAP","HDSD","HTDD","MNPN","MXPN","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"USC00454679","LIND 3 NE, WA US","1999-01",,"0","0","11","2","2","0","0","18","3","0","0","12","1","0.8","0.24","52",,"3137","896",,,"0.66",,"0.8","35.2","41.1","29.3",,,,,,,,
"USC00454679","LIND 3 NE, WA US","1999-02",,"0","0","9","7","0","0","0","18","0","0","0","24","0","0.1","0.40","54",,"3858","721",,,"1.72",,"0.1","38.3","45.2","31.4",,,,,,,,
"USC00454679","LIND 3 NE, WA US","1999-03",,"0","0","7","1","0","0","0","21","0","1","0","26","0","0.0","0.34","74",,"4533","674",,,"0.53",,"0.0","42.6","52.8","32.4",,,,,,,,
"USC00454679","LIND 3 NE, WA US","1999-04",,"0","0","3","1","0","1","0","13","0","6","0","23","0","1.5","0.22","77",,"5075","542",,,"0.32",,"1.5","46.9","61.4","32.4",,,,,,,,
"USC00454679","LIND 3 NE, WA US","1999-05",,"13","13","6","2","0","0","0","8","0","12","0","27","0","0.0","0.24","89","8.13","5461","386","45","69","0.59",,"0.0","53.0","68.4","37.5",,,,,"2526.5",,,
"USC00454679","LIND 3 NE, WA US","1999-06",,"47","34","4","2","0","0","0","0","0","24","2","35","0","0.0","0.34","98","10.05","5614","154","51","77","0.53",,"0.0","61.1","76.4","45.9",,,,,"2703.6",,,
"USC00454679","LIND 3 NE, WA US","1999-07",,"201","154","2","0","0","0","0","0","0","30","12","36","0","0.0","0.09","99","12.07","61","61","55","87","0.13",,"0.0","68.0","86.3","49.7",,,,,"1952.3",,,
"USC00454679","LIND 3 NE, WA US","1999-08",,"448","247","3","1","0","0","0","0","0","29","20","41","0","0.0","0.54","98","11.06","87","26","59","89","0.58",,"0.0","72.1","88.4","55.9",,,,,"1598.8",,,
"USC00454679","LIND 3 NE, WA US","1999-09",,"464","16","0","0","0","0","0","2","0","26","0","27","0","0.0","0.00","88","7.46","235","147","47","79","0.00",,"0.0","60.6","78.4","42.8",,,,,"1437.2",,,
"USC00454679","LIND 3 NE, WA US","1999-10",,"464","0","5","2","0","0","0","14","0","5","0","19","0","0.0","0.20","74",,"705","471",,,"0.61",,"0.0","49.3","63.3","35.3",,,,,,,,
"USC00454679","LIND 3 NE, WA US","1999-11",,"464","0","16","4","0","0","0","11","0","1","0","24","0","0.0","0.28","70",,"1343","637",,,"1.10",,"0.0","43.8","51.8","35.7",,,,,,,,
"USC00454679","LIND 3 NE, WA US","1999-12",,"464","0","11","3","0","0","0","22","8","0","0","23","0","0.0","0.49","55",,"2274","931",,,"0.97",,"0.0","35.0","39.7","30.2",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2000-01",,"0","0","14","9","9","4","0","28","6","0","0","14","2","2.0","0.25","50",,"3311","1037",,,"1.57",,"5.0","31.5","37.1","26.0",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2000-02",,"0","0","17","4","0","1","0","19","0","0","0","22","0","1.0","0.32","52",,"4084","772",,,"1.42",,"1.0","37.4","44.2","30.5",,,,,,,,
"USC00454679","LIND 3 NE, WA US","2000-03",,"0","0","9","6","0","0","0","23","0","0","0","22","0","0.0","0.34","62",,"4821","737",,,"1.29",,"0.0","41.2","51.6","30.8",,,,,,,,
