#  Washington Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
197001,29.1
197002,37.1
197003,38.4
197004,41.2
197005,51.4
197006,61.5
197007,65.2
197008,64.1
197009,53.2
197010,45.1
197011,36.4
197012,28.9
197101,31
197102,34.4
197103,34.3
197104,43.3
197105,52.8
197106,54.1
197107,64.6
197108,67.3
197109,53.4
197110,44.8
197111,36.9
197112,27.7
197201,26.6
197202,32.2
197203,40
197204,40.9
197205,53.6
197206,57.7
197207,63.2
197208,65.4
197209,53
197210,45.7
197211,38
197212,26.9
197301,28.1
197302,34.9
197303,39.9
197304,45.1
197305,52.9
197306,57.4
197307,64.7
197308,62.4
197309,57.6
197310,46.3
197311,34
197312,35
197401,27.1
197402,35.8
197403,38.2
197404,44.6
197405,48.3
197406,59.7
197407,62.4
197408,64.3
197409,59.8
197410,47.8
197411,38.6
197412,34.2
197501,29
197502,30.1
197503,35.6
197504,40.9
197505,50.7
197506,56
197507,66.4
197508,60.4
197509,58.6
197510,46.2
197511,35.8
197512,32.8
197601,32.2
197602,33.6
197603,35.3
197604,43.8
197605,51.3
197606,54.5
197607,62.7
197608,60.7
197609,59.7
197610,47.1
197611,37.9
197612,32.3
197701,26.1
197702,37.3
197703,37.9
197704,48
197705,48.7
197706,60.6
197707,62.3
197708,67.4
197709,54.2
197710,46.1
197711,34.7
197712,31.3
197801,31.5
197802,36
197803,41.3
197804,44.8
197805,49.8
197806,60.1
197807,64.6
197808,62.6
197809,55.1
197810,47.6
197811,31.8
197812,25.8
197901,18.8
197902,31.3
197903,40.7
197904,44.5
197905,53.1
197906,58.8
197907,65.4
197908,64.6
197909,60
197910,49.9
197911,33.9
197912,35.4
198001,23.8
198002,33.9
198003,37.9
198004,47.9
198005,52
198006,55.1
198007,63.5
198008,60.5
198009,57.1
198010,48
198011,38.4
198012,34.6
198101,36.2
198102,35.7
198103,42
198104,44.5
198105,51.1
198106,54.6
198107,62.2
198108,67.2
198109,57.7
198110,45.4
198111,39.4
198112,31.5
198201,28.4
198202,32.9
198203,38.5
198204,41.4
198205,50.7
198206,60.9
198207,62.5
198208,63.6
198209,57.2
198210,46.3
198211,33.5
198212,30.4
198301,35.6
198302,37.9
198303,42.3
198304,45
198305,54
198306,56.8
198307,60.8
198308,65
198309,54.1
198310,46.5
198311,39.6
198312,22.7
198401,31.9
198402,35.8
198403,41.7
198404,43.2
198405,48.2
198406,55.7
198407,64.2
198408,64.1
198409,54.7
198410,43.8
198411,36.1
198412,24.5
198501,26.3
198502,28.6
198503,36.8
198504,45.9
198505,53
198506,58.3
198507,69
198508,62.3
198509,53.1
198510,45.1
198511,24.9
198512,23.9
198601,33.2
198602,33.4
198603,43
198604,43.6
198605,52.3
198606,61.8
198607,60.4
198608,68
198609,54.1
198610,49.5
198611,37.4
198612,31
198701,29.8
198702,36.9
198703,41.3
198704,48.9
198705,54.3
198706,60.7
198707,63
198708,63.8
198709,60.6
198710,49.9
198711,40.2
198712,29.6
198801,29.1
198802,36.2
198803,39.6
198804,46.9
198805,51.6
198806,57.3
198807,64
198808,63.8
198809,57.3
198810,52.3
198811,38.1
198812,31.2
198901,31.9
198902,25.6
198903,37.1
198904,48.1
198905,51.4
198906,60.4
198907,63.1
198908,62.1
198909,59
198910,47
198911,39.6
198912,33.7
199001,34.5
199002,31.8
199003,41.1
199004,48.6
199005,50.6
199006,57.5
199007,67.1
199008,65.7
199009,62.2
199010,44.6
199011,39.3
199012,24.2
199101,28.5
199102,40.4
199103,37.4
199104,44.8
199105,50.1
199106,54.7
199107,64.7
199108,65.8
199109,60.4
199110,47
199111,37.3
199112,34.5
199201,34.6
199202,39.6
199203,45.1
199204,47.6
199205,56
199206,63.4
199207,64.3
199208,65.2
199209,55.4
199210,48.6
199211,36.6
199212,27.3
199301,24.4
199302,29.8
199303,39.1
199304,44.6
199305,57
199306,57.1
199307,58.8
199308,62.5
199309,58.4
199310,50.1
199311,32.6
199312,32.5
199401,36.7
199402,31.7
199403,42.2
199404,48.2
199405,54.1
199406,57.3
199407,67.3
199408,64.9
199409,61.2
199410,46.5
199411,33.2
199412,31.5
199501,32.6
199502,37.8
199503,39.6
199504,44.7
199505,54.6
199506,58.1
199507,64.7
199508,60.2
199509,60.8
199510,45.4
199511,40.2
199512,31.8
199601,29
199602,32
199603,39.2
199604,46
199605,48.2
199606,57.2
199607,66.6
199608,64.8
199609,55
199610,45.9
199611,35.3
199612,28.1
199701,30.4
199702,34
199703,38.7
199704,43.6
199705,54.5
199706,56.9
199707,63.2
199708,66.5
199709,59.2
199710,46.3
199711,39.6
199712,32.4
199801,32
199802,37.7
199803,41
199804,46
199805,52.9
199806,58.8
199807,69
199808,66.8
199809,62.2
199810,47
199811,39.6
199812,30.2
199901,34.3
199902,35
199903,38.6
199904,43.7
199905,48.5
199906,56
199907,62
199908,65.6
199909,57.1
199910,46.7
199911,41.1
199912,34.7
200001,30.4
200002,35.2
200003,39.1
200004,47.8
200005,51.1
200006,58.5
200007,63.5
200008,63.4
200009,56.3
200010,46.8
200011,32.6
200012,29.4
200101,31.8
200102,32.1
200103,40
200104,43.5
200105,53.1
200106,55.6
200107,63.4
200108,66
200109,59.8
200110,45.7
200111,39.7
200112,31.8
200201,32.9
200202,34.3
200203,35.6
200204,44.7
200205,49.7
200206,59.5
200207,66.1
200208,63.6
200209,57.5
200210,45.5
200211,39.2
200212,34.6
200301,36.1
200302,35.4
200303,41
200304,44.6
200305,51.3
200306,60.8
200307,67.5
200308,65.9
200309,60
200310,50.6
200311,33.3
200312,31.6
200401,29.8
200402,35.1
200403,42.9
200404,48.6
200405,52.4
200406,60.4
200407,67.3
200408,67
200409,56.1
200410,48.5
200411,38.1
200412,34.5
200501,31.5
200502,35.8
200503,42.7
200504,46.3
200505,54.7
200506,57
200507,65
200508,65.8
200509,55.7
200510,48.4
200511,35.7
200512,29.4
200601,35.9
200602,32.8
200603,38.8
200604,45.7
200605,53
200606,59.8
200607,67.5
200608,64.2
200609,58.8
200610,47
200611,36.1
200612,30.5
200701,28.6
200702,35.6
200703,41.5
200704,44.9
200705,52.9
200706,57.5
200707,68.1
200708,63.3
200709,56.7
200710,45.6
200711,36.4
200712,30.4
200801,27.4
200802,35.4
200803,37
200804,40.8
200805,53.1
200806,56.2
200807,64.4
200808,64
200809,57.8
200810,46.6
200811,40.2
200812,26.2
200901,30.1
200902,33.1
200903,35.3
200904,44.1
200905,52.3
200906,59.9
200907,67.5
200908,65.4
200909,59.9
200910,44.2
200911,38
200912,26.6
201001,36.3
201002,38.5
201003,40.9
201004,44.6
201005,48.7
201006,55.9
201007,64.2
201008,63.5
201009,57.1
201010,48.6
201011,34.8
201012,31.9
201101,32.1
201102,31.1
201103,38.4
201104,40.2
201105,48.6
201106,55.5
201107,61
201108,64.9
201109,61
201110,47.2
201111,35.3
201112,31
201201,30.7
201202,34.5
201203,37.6
201204,46
201205,50.9
201206,55
201207,65.2
201208,66.2
201209,59.7
201210,47.4
201211,39
201212,32.5
201301,29.1
201302,35.5
201303,40.2
201304,44.7
201305,53.5
201306,58.7
201307,67.2
201308,66.2
201309,59.7
201310,46.1
201311,36.7
201312,28.2
201401,34.1
201402,29.8
201403,40.1
201404,45.8
201405,54.3
201406,58.3
201407,68.6
201408,67.3
201409,59.8
201410,51.9
201411,36.3
201412,34.2
201501,35.1
201502,40.7
201503,44.8
201504,45.7
201505,56
201506,65.5
201507,68.6
201508,66.6
201509,56.2
201510,52.4
201511,36
201512,32.1
201601,33
201602,39.1
201603,41.8
201604,51.6
201605,55.1
201606,59.9
201607,63.6
201608,65.9
201609,56.4
201610,47.4
201611,43
201612,26.1
201701,24.8
201702,31
201703,39.3
201704,44.2
201705,53.7
201706,59.5
201707,67.1
201708,68.6
201709,59.8
201710,46.2
201711,37.7
201712,29.9
201801,35.4
201802,32.4
201803,38.8
201804,45.3
201805,57.6
201806,58.2
201807,67.5
201808,66
201809,56.3
201810,47.4
201811,38.6
201812,33.1
201901,34.2
201902,25.3
201903,36.2
201904,46.3
201905,55.6
201906,59.5
201907,63.8
201908,66.4
201909,57.1
201910,42.8
201911,37.6
201912,33.5
202001,34.2
202002,35.6
202003,38.3
202004,46
202005,53.3
